result_kind,workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,predicted_hot_dirs,predicted_eval_hot_dirs,predicted_eval_cold_dirs,predicted_hot_dir_precision,total_promotions,promoted_hot,promoted_cold,layout_failures
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,native,4,9104,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r4.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r4.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__native__r4.log,357.897084,67.058384,67.413588,127.96864966666668,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,oracle,0,9100,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r0.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r0.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r0.log,1270.981393,18.883046,19.330645,2.7818163333333334,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,oracle,1,9101,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r1.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r1.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r1.log,833.195706,28.804757,29.121866,84.52725600000001,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,oracle,2,9102,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r2.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r2.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r2.log,813.687559,29.495351,29.964902,117.283765,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,oracle,3,9103,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r3.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r3.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r3.log,1922.005741,12.486955,13.072926,2.4580543333333336,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,oracle,4,9104,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r4.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r4.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__oracle__r4.log,651.144094,36.858201,37.227352,100.62144483333333,,,,,,,,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor,0,9100,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r0.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r0.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r0.log,1024.403375,23.428271,23.58336,29.650305666666664,13,4,9,0.307692,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor,1,9101,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r1.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r1.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r1.log,1479.061056,16.226511,16.805819,1.9278130000000002,13,4,9,0.307692,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor,2,9102,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r2.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r2.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r2.log,1364.731253,17.58588,17.708132,1.8708686666666667,10,4,6,0.4,0,0,0,0
inrepo,hotcold_cold90_access10,oracle_hotcold_mix,predictor,3,9103,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r3.json,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r3.csv,results/cloudlab-paperready-20260506-3x/hotcold_cold90_access10__predictor__r3.log,1530.299207,15.683207,16.418894,1.8008966666666666,18,4,14,0.222222,0,0,0,0
