result_kind,workload_id,variant,operation,runs,mean_ops_per_sec,mean_latency_p95_ms,mean_latency_p99_ms
inrepo,recreated_mdtest_tree,predictor,delete,5,205713.0578,0.003514,0.006878
inrepo,recreated_mdtest_tree,predictor,read,5,5675.9744,1.701369,2.010241
inrepo,recreated_mdtest_tree,predictor,stat,5,8161.6818,1.251118,1.399887
inrepo,recreated_mdtest_tree,predictor_nolearn,create,5,18023.082,0.453636,1.126944
inrepo,recreated_mdtest_tree,predictor_nolearn,delete,5,192496.4444,0.004452,0.007198
inrepo,recreated_mdtest_tree,predictor_nolearn,read,5,6027.9962,1.61088,1.832899
inrepo,recreated_mdtest_tree,predictor_nolearn,stat,5,7741.0264,1.315102,1.494562
inrepo,scaled_hotcold_cold90_access10_20k,native,bulk_create,3,100.756667,332.303162,452.315267
inrepo,scaled_hotcold_cold90_access10_20k,native,cleanup_delete,3,796.916667,31.465878,114.379011
inrepo,scaled_hotcold_cold90_access10_20k,native,oracle_access_read,3,5652.261667,1.826041,2.090435
inrepo,scaled_hotcold_cold90_access10_20k,native,oracle_access_stat,3,6578.129333,1.638976,2.04166
inrepo,scaled_hotcold_cold90_access10_20k,native,oracle_hot_churn_create,3,56.368,385.843293,554.922814
inrepo,scaled_hotcold_cold90_access10_20k,native,oracle_hot_churn_delete,3,167.245333,159.907993,222.561325
inrepo,scaled_hotcold_cold90_access10_20k,oracle,bulk_create,3,1191.226667,2.757201,13.096907
inrepo,scaled_hotcold_cold90_access10_20k,oracle,cleanup_delete,3,1498.234,17.026905,78.264701
inrepo,scaled_hotcold_cold90_access10_20k,oracle,oracle_access_read,3,6034.002333,2.292709,2.775812
inrepo,scaled_hotcold_cold90_access10_20k,oracle,oracle_access_stat,3,5674.33,1.417213,1.618549
inrepo,scaled_hotcold_cold90_access10_20k,oracle,oracle_hot_churn_create,3,66.587,443.231696,613.037132
inrepo,scaled_hotcold_cold90_access10_20k,oracle,oracle_hot_churn_delete,3,186.374667,181.57479,240.284622
inrepo,scaled_hotcold_cold90_access10_20k,predictor,bulk_create,3,12679.425667,0.667741,1.208233
inrepo,scaled_hotcold_cold90_access10_20k,predictor,cleanup_delete,3,171198.421667,0.006847,0.008893
inrepo,scaled_hotcold_cold90_access10_20k,predictor,oracle_access_read,3,3591.889,2.623467,2.941855
inrepo,scaled_hotcold_cold90_access10_20k,predictor,oracle_access_stat,3,8040.714333,1.311864,1.481552
inrepo,scaled_hotcold_cold90_access10_20k,predictor,oracle_hot_churn_create,3,78.899333,406.103727,676.418658
inrepo,scaled_hotcold_cold90_access10_20k,predictor,oracle_hot_churn_delete,3,176.935667,193.452933,263.878099
inrepo,scaled_hotcold_cold90_access10_20k,predictor_nolearn,bulk_create,3,11856.830667,0.752762,1.204059
inrepo,scaled_hotcold_cold90_access10_20k,predictor_nolearn,cleanup_delete,3,217247.053,0.004607,0.007217
inrepo,scaled_hotcold_cold90_access10_20k,predictor_nolearn,oracle_access_read,3,3719.059333,2.580657,2.852914
inrepo,scaled_hotcold_cold90_access10_20k,predictor_nolearn,oracle_access_stat,3,7858.023333,1.315571,1.482428
inrepo,scaled_hotcold_cold90_access10_20k,predictor_nolearn,oracle_hot_churn_create,3,9154.521333,0.336402,0.508207
inrepo,scaled_hotcold_cold90_access10_20k,predictor_nolearn,oracle_hot_churn_delete,3,186081.573667,0.006622,0.008367
inrepo,ycsb_hotspot_file_skew,native,cleanup_delete,5,323.222,119.340957,173.964265
inrepo,ycsb_hotspot_file_skew,native,ycsb_hotspot_read,5,3822.4414,2.285505,2.964352
inrepo,ycsb_hotspot_file_skew,native,ycsb_hotspot_update,5,67.7804,238.347116,325.86313
inrepo,ycsb_hotspot_file_skew,native,ycsb_load_create,5,123.0958,121.757107,1590.638639
inrepo,ycsb_hotspot_file_skew,oracle,cleanup_delete,5,5286.734,25.718533,87.867873
inrepo,ycsb_hotspot_file_skew,oracle,ycsb_hotspot_read,5,5635.9452,2.230309,2.734442
inrepo,ycsb_hotspot_file_skew,oracle,ycsb_hotspot_update,5,83.7214,247.737569,339.726802
inrepo,ycsb_hotspot_file_skew,oracle,ycsb_load_create,5,1924.5952,2.749709,3.80901
inrepo,ycsb_hotspot_file_skew,predictor,cleanup_delete,5,3436.9846,13.022903,56.750837
inrepo,ycsb_hotspot_file_skew,predictor,ycsb_hotspot_read,5,4211.956,2.265672,2.529215
inrepo,ycsb_hotspot_file_skew,predictor,ycsb_hotspot_update,5,80.5258,306.468493,434.288262
inrepo,ycsb_hotspot_file_skew,predictor,ycsb_load_create,5,15688.8628,0.602098,1.422189
inrepo,ycsb_hotspot_file_skew,predictor_nolearn,cleanup_delete,5,178596.7984,0.004805,0.007556
inrepo,ycsb_hotspot_file_skew,predictor_nolearn,ycsb_hotspot_read,5,4309.4334,2.254145,2.52123
inrepo,ycsb_hotspot_file_skew,predictor_nolearn,ycsb_hotspot_update,5,23558.401,0.213119,0.334697
inrepo,ycsb_hotspot_file_skew,predictor_nolearn,ycsb_load_create,5,14621.197,0.553672,1.297555
inrepo,ycsb_zipfian_file_skew,native,cleanup_delete,5,479.1256,78.792174,149.885422
inrepo,ycsb_zipfian_file_skew,native,ycsb_load_create,5,135.127,113.495538,1716.381248
inrepo,ycsb_zipfian_file_skew,native,ycsb_zipfian_read,5,4096.9826,2.226225,4.202252
inrepo,ycsb_zipfian_file_skew,native,ycsb_zipfian_update,5,54.3178,386.648406,851.538182
inrepo,ycsb_zipfian_file_skew,oracle,cleanup_delete,5,4598.9792,15.870245,59.546425
inrepo,ycsb_zipfian_file_skew,oracle,ycsb_load_create,5,1158.7666,2.722187,3.774444
inrepo,ycsb_zipfian_file_skew,oracle,ycsb_zipfian_read,5,6081.6058,2.159831,2.588372
inrepo,ycsb_zipfian_file_skew,oracle,ycsb_zipfian_update,5,66.3044,426.021208,918.765271
inrepo,ycsb_zipfian_file_skew,predictor,cleanup_delete,5,1103.993,23.996933,94.556738
inrepo,ycsb_zipfian_file_skew,predictor,ycsb_load_create,5,15773.8606,0.539863,1.24047
inrepo,ycsb_zipfian_file_skew,predictor,ycsb_zipfian_read,5,4420.9926,2.193006,2.427085
inrepo,ycsb_zipfian_file_skew,predictor,ycsb_zipfian_update,5,56.9802,472.708084,1204.634134
inrepo,ycsb_zipfian_file_skew,predictor_nolearn,cleanup_delete,5,179906.4684,0.004407,0.00754
inrepo,ycsb_zipfian_file_skew,predictor_nolearn,ycsb_load_create,5,15478.5872,0.556482,1.308007
inrepo,ycsb_zipfian_file_skew,predictor_nolearn,ycsb_zipfian_read,5,4483.0088,2.175131,2.409351
inrepo,ycsb_zipfian_file_skew,predictor_nolearn,ycsb_zipfian_update,5,24032.8064,0.14621,0.23516
