hotcold_cold90_access10__predictor__r4	hotcold_cold90_access10	predictor	4	9104
direct_filebench_fileserver__external__r4	direct_filebench_fileserver	external	4	9104
scaled_hotcold_cold90_access10_20k__predictor_nolearn__r1	scaled_hotcold_cold90_access10_20k	predictor_nolearn	1	9201
hotcold_cold90_access10__native__r3	hotcold_cold90_access10	native	3	9103
predictor_false_hot_churn__predictor_nolearn__r0	predictor_false_hot_churn	predictor_nolearn	0	9100
predictor_false_hot_churn__predictor__r1	predictor_false_hot_churn	predictor	1	9101
scaled_hotcold_cold90_access10_20k__native__r0	scaled_hotcold_cold90_access10_20k	native	0	9200
predictor_false_hot_churn__native__r1	predictor_false_hot_churn	native	1	9101
predictor_false_hot_churn__native__r3	predictor_false_hot_churn	native	3	9103
ycsb_hotspot_file_skew__predictor__r3	ycsb_hotspot_file_skew	predictor	3	9103
ycsb_zipfian_file_skew__predictor_nolearn__r2	ycsb_zipfian_file_skew	predictor_nolearn	2	9102
recreated_filebench_varmail_like__predictor_nolearn__r3	recreated_filebench_varmail_like	predictor_nolearn	3	9103
hotcold_cold90_access10__oracle__r3	hotcold_cold90_access10	oracle	3	9103
predictor_false_hot_churn__predictor__r3	predictor_false_hot_churn	predictor	3	9103
ycsb_hotspot_file_skew__predictor_nolearn__r0	ycsb_hotspot_file_skew	predictor_nolearn	0	9100
recreated_mdtest_tree__native__r4	recreated_mdtest_tree	native	4	9104
recreated_mdtest_tree__predictor_nolearn__r0	recreated_mdtest_tree	predictor_nolearn	0	9100
scaled_hotcold_cold90_access10_20k__predictor__r2	scaled_hotcold_cold90_access10_20k	predictor	2	9202
recreated_filebench_varmail_like__native__r3	recreated_filebench_varmail_like	native	3	9103
direct_ior_512m__external__r4	direct_ior_512m	external	4	9104
direct_filebench_fileserver__external__r3	direct_filebench_fileserver	external	3	9103
recreated_filebench_varmail_like__oracle__r3	recreated_filebench_varmail_like	oracle	3	9103
recreated_filebench_varmail_like__predictor_nolearn__r0	recreated_filebench_varmail_like	predictor_nolearn	0	9100
ycsb_zipfian_file_skew__oracle__r3	ycsb_zipfian_file_skew	oracle	3	9103
recreated_mdtest_tree__predictor_nolearn__r3	recreated_mdtest_tree	predictor_nolearn	3	9103
hotcold_cold90_access10__predictor_nolearn__r1	hotcold_cold90_access10	predictor_nolearn	1	9101
recreated_filebench_varmail_like__predictor_nolearn__r1	recreated_filebench_varmail_like	predictor_nolearn	1	9101
ycsb_hotspot_file_skew__oracle__r4	ycsb_hotspot_file_skew	oracle	4	9104
predictor_false_hot_churn__native__r0	predictor_false_hot_churn	native	0	9100
recreated_mdtest_tree__oracle__r4	recreated_mdtest_tree	oracle	4	9104
predictor_false_hot_churn__oracle__r2	predictor_false_hot_churn	oracle	2	9102
predictor_false_hot_churn__oracle__r0	predictor_false_hot_churn	oracle	0	9100
recreated_mdtest_tree__predictor__r3	recreated_mdtest_tree	predictor	3	9103
recreated_filebench_varmail_like__predictor__r4	recreated_filebench_varmail_like	predictor	4	9104
recreated_mdtest_tree__oracle__r3	recreated_mdtest_tree	oracle	3	9103
recreated_mdtest_tree__predictor_nolearn__r2	recreated_mdtest_tree	predictor_nolearn	2	9102
predictor_false_hot_churn__predictor__r0	predictor_false_hot_churn	predictor	0	9100
ycsb_zipfian_file_skew__predictor_nolearn__r4	ycsb_zipfian_file_skew	predictor_nolearn	4	9104
scaled_hotcold_cold90_access10_20k__predictor_nolearn__r0	scaled_hotcold_cold90_access10_20k	predictor_nolearn	0	9200
ycsb_hotspot_file_skew__native__r4	ycsb_hotspot_file_skew	native	4	9104
direct_mdtest__external__r4	direct_mdtest	external	4	9104
direct_filebench_varmail__external__r4	direct_filebench_varmail	external	4	9104
hotcold_cold90_access10__oracle__r4	hotcold_cold90_access10	oracle	4	9104
ycsb_hotspot_file_skew__predictor__r4	ycsb_hotspot_file_skew	predictor	4	9104
ycsb_zipfian_file_skew__predictor__r3	ycsb_zipfian_file_skew	predictor	3	9103
recreated_mdtest_tree__predictor_nolearn__r4	recreated_mdtest_tree	predictor_nolearn	4	9104
ycsb_zipfian_file_skew__predictor_nolearn__r1	ycsb_zipfian_file_skew	predictor_nolearn	1	9101
direct_filebench_varmail__external__r3	direct_filebench_varmail	external	3	9103
recreated_filebench_varmail_like__predictor_nolearn__r4	recreated_filebench_varmail_like	predictor_nolearn	4	9104
hotcold_cold90_access10__predictor_nolearn__r3	hotcold_cold90_access10	predictor_nolearn	3	9103
predictor_false_hot_churn__native__r4	predictor_false_hot_churn	native	4	9104
ycsb_hotspot_file_skew__predictor_nolearn__r3	ycsb_hotspot_file_skew	predictor_nolearn	3	9103
