workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,namespace_entries,packed_create_fraction,total_promotions,promoted_hot,promoted_cold,predicted_hot_dirs,layout_failures
hotcold_cold90_access10,oracle_hotcold_mix,predictor,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access10__predictor__r2.log,1044.352342,22.98075,23.189948,77.588001,1509,0.666667,0,0,0,16,0
hotcold_cold90_access20,oracle_hotcold_mix,native,0,8000,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r0.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r0.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r0.log,407.811007,58.85079,59.293725,78.90232783333333,4565,0.0,0,0,0,0,0
hotcold_cold90_access20,oracle_hotcold_mix,native,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r1.log,225.287505,106.530542,107.253942,229.811422,4565,0.0,0,0,0,0,0
hotcold_cold90_access20,oracle_hotcold_mix,native,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__native__r2.log,380.557616,63.065352,63.487582,123.86561816666666,4565,0.0,0,0,0,0,0
hotcold_cold90_access20,oracle_hotcold_mix,oracle,0,8000,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r0.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r0.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r0.log,242.421519,99.001112,99.207751,811.9903166666667,1809,0.6,0,0,0,0,0
hotcold_cold90_access20,oracle_hotcold_mix,oracle,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r1.log,1810.995301,13.252381,13.509353,2.474032333333333,1809,0.6,0,0,0,0,0
hotcold_cold90_access20,oracle_hotcold_mix,oracle,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__oracle__r2.log,308.596118,77.771555,78.370849,179.76635766666666,1809,0.6,0,0,0,0,0
hotcold_cold90_access20,oracle_hotcold_mix,predictor,0,8000,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r0.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r0.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r0.log,1084.878687,22.122289,22.253844,1.9033986666666667,1509,0.666667,0,0,0,52,0
hotcold_cold90_access20,oracle_hotcold_mix,predictor,1,8001,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r1.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r1.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r1.log,554.330531,43.295468,43.728574,147.76137150000002,1509,0.666667,0,0,0,47,0
hotcold_cold90_access20,oracle_hotcold_mix,predictor,2,8002,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r2.json,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r2.csv,results/cloudlab-comprehensive-20260506-3x/hotcold_cold90_access20__predictor__r2.log,1520.991349,15.779182,15.923797,1.9400789999999999,1509,0.666667,0,0,0,53,0
